Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Additional Files
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 3 Col 7,Keyboard,A-Z,5,View page 'Keyboard A-Z',-,-,-,-,-,-,-,Switches profile page,-
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 3 Col 8,C,Browser,5,View page 'C Browser',1,-,-,-,-,-,-,Switches profile page,-
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 3 Col 8,C,Browser,5,Bring Traktor window to front to receive mouse clicks,2,-,-,-,-,-,-,Focusses Traktor application,-
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 3 Col 8,C,Browser,5,Sync state of all buttons with Traktor,3,10,36,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Send Monitor State',src/traktor/CT6 - Streamdeck XL.tsi
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 3 Col 8,C,Browser,5,Optimise layout for browsing tracks,4,10,31,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Browser' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 3 Col 8,C,Browser,5,Focus and clear Traktor's Search field,5,10,7,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Search' & 'Search Clear',src/traktor/CT6 - Streamdeck XL.tsi
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 4 Col 7,Keyboard,0-9`,5,View page 'Keyboard 0-9',-,-,-,-,-,-,-,Switches profile page,-
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 4 Col 8,D,Settings,5,View page 'D Settings',1,-,-,-,-,-,-,Switches profile page,src/streamdeck-xl/icons/d.png
"A - Decks/Rec,
B - Rmx Deck,
C - Browser,
D - Settings,
Keyboard A-Z,
Keyboard 0-9",Row 4 Col 8,D,Settings,5,Sync state of all buttons with Traktor,2,10,36,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Send Monitor State',src/traktor/CT6 - Streamdeck XL.tsi
"A - Decks/Rec,
C - Browser,
D - Settings",Row 4 Col 1,Right Arrow,Shift,5,"Provide SHIFTed functions, I denote these with underlined text",-,10,4,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Modifier 1' (for CT6 - Stream Deck XL) to '1',src/traktor/CT6 - Streamdeck XL.tsi
